Sample,Collection_Date,Location
04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001,2024-04-02,South Bay
04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001,2024-04-02,Point Loma
04_08_24_PLAPR02_R2__E0000000__X00__240415_NextSeq_WW__001.sorted.bam,2024-04-02,Point Loma
04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001,2024-04-02,Encina
04_08_24_ENCAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.sorted.bam,2024-04-02,Encina
04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001.sorted.bam,2024-04-03,Point Loma
04_08_24_PLAPR03_R2__E0000000__X00__240415_NextSeq_WW__001,2024-04-03,Point Loma
04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001,2024-04-04,South Bay
04_08_24_SBAPR04_R2__E0000000__X00__240415_NextSeq_WW__001.sorted.bam,2024-04-04,South Bay
04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001.sorted.bam,2024-04-05,Encina
04_08_24_ENCAPR05_R2__E0000000__X00__240415_NextSeq_WW__001,2024-04-05,Encina
4_15_24_PLAPR07__E0000000__X00__240418_WW_SG__001,2024-04-07,Point Loma
4_15_24_PLAPR07_R2__E0000000__X00__240420_NextSeq_WW__001,2024-04-07,Point Loma
